segment,horizon,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
development,1,candidate_overlay_adaptive,us10y,332,0.0630698790659577,0.04913532828849064,0.4789156626506024,-0.026968643031570254,0.06335158780525886,0.004446751045405817
development,1,candidate_overlay_adaptive,wti,332,1.4536809615289703,1.1357116135091374,0.49698795180722893,0.011340331262640172,1.4480151474331922,-0.003912814106828755
development,1,candidate_overlay_adaptive,brent,332,0.017993252291085164,0.013547393241584228,0.5813253012048193,0.195010980110261,0.01869698181607249,0.037638669808320535
development,1,candidate_overlay_adaptive,henry_hub,332,0.10952231588140131,0.0579682755866835,0.5120481927710844,0.0017643640398174204,0.1103104062878107,0.007144297921931275
development,1,online_fixed_share,audusd,332,0.005594955142789405,0.004346312136581465,0.5451807228915663,0.14818015302476334,0.005615718621267888,0.0036973858340850763
development,1,online_fixed_share,brlusd,332,0.0072974243513220394,0.005550810233314356,0.4939759036144578,-0.07918629471292689,0.0071849712531804,-0.01565115491476221
development,1,online_fixed_share,cnyusd,332,0.0019659906402127347,0.0012777040297113384,0.4879518072289157,0.12588110729111493,0.0019713143697827127,0.002700598976795754
development,1,online_fixed_share,krwusd,332,0.004947819496959222,0.0036757668832343793,0.6234939759036144,0.3956660330802419,0.0053704050942071134,0.0786878438097195
development,1,online_fixed_share,eurusd,332,0.003986697868632584,0.0029691827049468313,0.5090361445783133,0.09567332384858854,0.003989786652668768,0.0007741727327996717
development,1,online_fixed_share,sp500,332,0.007973878241384747,0.006070712151514514,0.5060240963855421,-0.007493641616345727,0.007950049162536357,-0.002997349873090416
development,1,online_fixed_share,vix,332,1.6289561921125295,0.854122871428691,0.5120481927710844,0.1164716669338881,1.6230865304947135,-0.0036163577896410892
development,1,online_fixed_share,us2y,332,0.06447028987730992,0.04846305029226158,0.4819277108433735,0.0052256959487616056,0.06426158904756346,-0.0032476761443291924
development,1,online_fixed_share,us10y,332,0.06312124014902647,0.04920521940380868,0.46686746987951805,-0.03490867782353569,0.06335158780525886,0.003636020251623018
development,1,online_fixed_share,wti,332,1.4536809615289703,1.1357116135091374,0.49698795180722893,0.011340331262640172,1.4480151474331922,-0.003912814106828755
development,1,online_fixed_share,brent,332,0.018006003778210888,0.01355127499968012,0.5783132530120482,0.19076496416430533,0.01869698181607249,0.03695666202486303
development,1,online_fixed_share,henry_hub,332,0.10947705048315406,0.05788503000997175,0.5210843373493976,0.00485132817858659,0.1103104062878107,0.007554643598014943
reused_evaluation,1,ar,audusd,377,0.0060397547678298245,0.004347328719636378,0.44297082228116713,-0.03558324710560246,0.0060397547678298245,0.0
reused_evaluation,1,ar,brlusd,377,0.006890891961182676,0.005197526445518353,0.4880636604774536,0.05358011279886572,0.006890891961182676,0.0
reused_evaluation,1,ar,cnyusd,377,0.0015082024056524979,0.001059891877451121,0.5092838196286472,-0.07831471260500616,0.0015082024056524979,0.0
reused_evaluation,1,ar,krwusd,377,0.006354505100351533,0.004665525274559312,0.5225464190981433,0.10772957480900903,0.006354505100351533,0.0
reused_evaluation,1,ar,eurusd,377,0.0044488450872673235,0.0032895582577640676,0.47480106100795755,-0.01729464673731428,0.0044488450872673235,0.0
reused_evaluation,1,ar,sp500,377,0.010602888245241412,0.006982386437281325,0.5251989389920424,0.11326970377274907,0.010602888245241412,0.0
reused_evaluation,1,ar,vix,377,2.074228051361969,1.2191229380795072,0.5225464190981433,0.08658325082851298,2.074228051361969,0.0
reused_evaluation,1,ar,us2y,377,0.050627631625307694,0.038412184356398676,0.44562334217506633,0.04408299195573342,0.050627631625307694,0.0
reused_evaluation,1,ar,us10y,377,0.04705741211108652,0.03789576064370771,0.47214854111405835,0.005374975283743423,0.04705741211108652,0.0
reused_evaluation,1,ar,wti,377,2.61753317929647,1.6146962218081822,0.5358090185676393,-0.06813341339827887,2.61753317929647,0.0
reused_evaluation,1,ar,brent,377,0.03253664275296348,0.022521783465006315,0.5278514588859416,0.00972712110861458,0.03253664275296348,0.0
reused_evaluation,1,ar,henry_hub,377,0.11592935488730463,0.053261261580206935,0.4588859416445623,0.051659996937874514,0.11592935488730463,0.0
reused_evaluation,1,financial_direct_sparse,audusd,377,0.005549521269203671,0.004158034953146579,0.5411140583554377,0.4057185552284397,0.0060397547678298245,0.08116778204925401
reused_evaluation,1,financial_direct_sparse,brlusd,377,0.006778092713651229,0.005170689568550962,0.4880636604774536,0.18917519322381426,0.006890891961182676,0.016369324634148974
reused_evaluation,1,financial_direct_sparse,cnyusd,377,0.001487413219900789,0.0010712700765646668,0.5013262599469496,0.123025078939713,0.0015082024056524979,0.013784082079298154
reused_evaluation,1,financial_direct_sparse,krwusd,377,0.006420381917306255,0.004712626651538647,0.5145888594164456,0.08616830932099241,0.006354505100351533,-0.010366946900566054
reused_evaluation,1,financial_direct_sparse,eurusd,377,0.004398819036905577,0.0032100646616627483,0.5384615384615384,0.128542340937346,0.0044488450872673235,0.011244727424859602
reused_evaluation,1,financial_direct_sparse,sp500,377,0.010673433038219635,0.007008288470982809,0.5490716180371353,0.04217040468147674,0.010602888245241412,-0.0066533562692112636
reused_evaluation,1,financial_direct_sparse,vix,377,2.0594197845961655,1.2113289253943242,0.53315649867374,0.12453216524499736,2.074228051361969,0.007139170042599785
reused_evaluation,1,financial_direct_sparse,us2y,377,0.05107325793928397,0.03862907670932305,0.4350132625994695,-0.06417811333840372,0.050627631625307694,-0.008802037537017915
reused_evaluation,1,financial_direct_sparse,us10y,377,0.047075692787446895,0.03771396791030699,0.4960212201591512,0.009713939333434002,0.04705741211108652,-0.0003884760240793206
reused_evaluation,1,financial_direct_sparse,wti,377,2.6065542491856126,1.6023310874870755,0.5172413793103449,-0.008446029678111675,2.61753317929647,0.004194380494465522
reused_evaluation,1,financial_direct_sparse,brent,377,0.03216301272807511,0.022345057119843578,0.519893899204244,0.06730988584374682,0.03253664275296348,0.011483361320501873
reused_evaluation,1,financial_direct_sparse,henry_hub,377,0.11527380087140572,0.05247333128088724,0.47745358090185674,0.07544517309119037,0.11592935488730463,0.005654771533372016
reused_evaluation,1,candidate_overlay_survival,audusd,377,0.005549521269203671,0.004158034953146579,0.5411140583554377,0.4057185552284397,0.0060397547678298245,0.08116778204925401
reused_evaluation,1,candidate_overlay_survival,brlusd,377,0.006778092713651229,0.005170689568550962,0.4880636604774536,0.18917519322381426,0.006890891961182676,0.016369324634148974
reused_evaluation,1,candidate_overlay_survival,cnyusd,377,0.001490257761543761,0.0010753986007153412,0.506631299734748,0.11610073996973136,0.0015082024056524979,0.011898034402732183
reused_evaluation,1,candidate_overlay_survival,krwusd,377,0.006429067702427171,0.0047336311550258995,0.5013262599469496,0.08897472187561979,0.006354505100351533,-0.011733817330874974
reused_evaluation,1,candidate_overlay_survival,eurusd,377,0.004398819036905577,0.0032100646616627483,0.5384615384615384,0.128542340937346,0.0044488450872673235,0.011244727424859602
reused_evaluation,1,candidate_overlay_survival,sp500,377,0.010666339876843157,0.007006083793125369,0.5411140583554377,0.05345154790017062,0.010602888245241412,-0.005984372383649683
reused_evaluation,1,candidate_overlay_survival,vix,377,2.0604934803484394,1.2111960751730975,0.5358090185676393,0.12128646586273628,2.074228051361969,0.006621533733723872
reused_evaluation,1,candidate_overlay_survival,us2y,377,0.05120267718115527,0.03850567691953726,0.4535809018567639,-0.031729775343457306,0.050627631625307694,-0.011358334122825609
reused_evaluation,1,candidate_overlay_survival,us10y,377,0.04742925948113508,0.037910494094828114,0.48010610079575594,-0.00971404628016314,0.04705741211108652,-0.007901993615176961
reused_evaluation,1,candidate_overlay_survival,wti,377,2.6073070989474063,1.6053904457062362,0.5145888594164456,-0.008608421972597197,2.61753317929647,0.003906762454798041
reused_evaluation,1,candidate_overlay_survival,brent,377,0.032191247101960196,0.02237737599184546,0.519893899204244,0.06537400904949835,0.03253664275296348,0.010615589740641695
reused_evaluation,1,candidate_overlay_survival,henry_hub,377,0.11534444696806362,0.05285345320998036,0.48010610079575594,0.06884806600908613,0.11592935488730463,0.005045382334867621
reused_evaluation,1,candidate_overlay_adaptive,audusd,377,0.005549521269203671,0.004158034953146579,0.5411140583554377,0.4057185552284397,0.0060397547678298245,0.08116778204925401
reused_evaluation,1,candidate_overlay_adaptive,brlusd,377,0.006778092713651229,0.005170689568550962,0.4880636604774536,0.18917519322381426,0.006890891961182676,0.016369324634148974
reused_evaluation,1,candidate_overlay_adaptive,cnyusd,377,0.001487413219900789,0.0010712700765646668,0.5013262599469496,0.123025078939713,0.0015082024056524979,0.013784082079298154
