segment,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
final_holdout,financial_sparse_var,cnyusd,377,0.0014874132199008253,0.001071270076564712,0.5013262599469496,0.1230250789397106,0.0015082024056525367,0.013784082079299376
final_holdout,full_sparse_var,cnyusd,377,0.001491440435031433,0.001070381028072087,0.48010610079575594,0.11889255812606721,0.0015082024056525367,0.011113873415320108
final_holdout,stability_filtered_full,cnyusd,377,0.0014689461594045695,0.0010571414437111305,0.519893899204244,0.18889353302202783,0.0015082024056525367,0.026028499955205064
final_holdout,ar,eurusd,377,0.004448845087267362,0.0032895582577641153,0.47480106100795755,-0.017294646737308236,0.004448845087267362,0.0
final_holdout,financial_sparse_var,eurusd,377,0.004398819036905615,0.003210064661662789,0.5384615384615384,0.12854234093734512,0.004448845087267362,0.01124472742485949
final_holdout,full_sparse_var,eurusd,377,0.004404630820715063,0.0032106112471891332,0.5411140583554377,0.1180355344991433,0.004448845087267362,0.009938369550974047
final_holdout,stability_filtered_full,eurusd,377,0.00439594746626138,0.0032185785128263584,0.5358090185676393,0.13233048172848386,0.004448845087267362,0.011890191716806497
final_holdout,ar,henry_hub,377,0.11592935488730464,0.053261261580206984,0.4588859416445623,0.05165999693787445,0.11592935488730464,0.0
final_holdout,financial_sparse_var,henry_hub,377,0.11527380087140575,0.05247333128088729,0.47745358090185674,0.07544517309118981,0.11592935488730464,0.005654771533371905
final_holdout,full_sparse_var,henry_hub,377,0.11579452551027543,0.052869607944400106,0.4827586206896552,0.03235412910810264,0.11592935488730464,0.0011630305125072127
final_holdout,stability_filtered_full,henry_hub,377,0.11566489387591361,0.05296846541201334,0.47214854111405835,0.04334842802295496,0.11592935488730464,0.002281225593363412
final_holdout,ar,krwusd,377,0.0063545051003515715,0.004665525274559362,0.5225464190981433,0.10772957480900354,0.0063545051003515715,0.0
final_holdout,financial_sparse_var,krwusd,377,0.0064203819173063,0.004712626651538696,0.5145888594164456,0.08616830932098915,0.0063545051003515715,-0.010366946900567164
final_holdout,full_sparse_var,krwusd,377,0.006419989724328186,0.0047172318537730355,0.5039787798408488,0.08626421522842755,0.0063545051003515715,-0.010305228014214851
final_holdout,stability_filtered_full,krwusd,377,0.006392453004963103,0.004689291277177193,0.5039787798408488,0.10139775405916747,0.0063545051003515715,-0.005971811181555653
final_holdout,ar,sp500,377,0.010602888245241446,0.006982386437281373,0.5251989389920424,0.1132697037727449,0.010602888245241446,0.0
final_holdout,financial_sparse_var,sp500,377,0.01067343303821967,0.007008288470982853,0.5490716180371353,0.04217040468147731,0.010602888245241446,-0.0066533562692112636
final_holdout,full_sparse_var,sp500,377,0.010686019434006374,0.0070274259314614465,0.5543766578249337,0.032003026883897154,0.010602888245241446,-0.00784042864945178
final_holdout,stability_filtered_full,sp500,377,0.010683865589706902,0.007011438659767755,0.5305039787798409,0.018684182892175428,0.010602888245241446,-0.007637291141100011
final_holdout,ar,us10y,377,0.04705741211108656,0.03789576064370777,0.47214854111405835,0.005374975283742255,0.04705741211108656,0.0
final_holdout,financial_sparse_var,us10y,377,0.04707569278744693,0.03771396791030704,0.4960212201591512,0.009713939333433206,0.04705741211108656,-0.00038847602407909854
final_holdout,full_sparse_var,us10y,377,0.047203546159306546,0.03776067653892235,0.4960212201591512,-0.017520577826162516,0.04705741211108656,-0.003105441665066655
final_holdout,stability_filtered_full,us10y,377,0.04688288506204902,0.03772147017613091,0.48010610079575594,0.06015901375337714,0.04705741211108656,0.003708811029079717
final_holdout,ar,us2y,377,0.05062763162530773,0.03841218435639872,0.44562334217506633,0.044082991955733695,0.05062763162530773,0.0
final_holdout,financial_sparse_var,us2y,377,0.05107325793928401,0.03862907670932309,0.4350132625994695,-0.06417811333840419,0.05062763162530773,-0.008802037537018137
final_holdout,full_sparse_var,us2y,377,0.05114383616736402,0.038726122313754274,0.4403183023872679,-0.04265120618139544,0.05062763162530773,-0.010196102908322624
final_holdout,stability_filtered_full,us2y,377,0.050846600102651365,0.03845589158480693,0.4403183023872679,-0.02239534568869509,0.05062763162530773,-0.004325078426820506
final_holdout,ar,vix,377,2.074228051361969,1.2191229380795072,0.5225464190981433,0.0865832508285129,2.074228051361969,0.0
final_holdout,financial_sparse_var,vix,377,2.0594197845961655,1.2113289253943245,0.53315649867374,0.12453216524499704,2.074228051361969,0.007139170042599785
final_holdout,full_sparse_var,vix,377,2.0610388861871303,1.212267691947556,0.53315649867374,0.11857327936986298,2.074228051361969,0.00635858972506842
final_holdout,stability_filtered_full,vix,377,2.056956836982695,1.2055319800733852,0.5490716180371353,0.13749053619738924,2.074228051361969,0.008326574490174043
final_holdout,ar,wti,377,2.61753317929647,1.6146962218081822,0.5358090185676393,-0.06813341339827879,2.61753317929647,0.0
final_holdout,financial_sparse_var,wti,377,2.6065542491856126,1.6023310874870758,0.5172413793103449,-0.008446029678112733,2.61753317929647,0.004194380494465522
final_holdout,full_sparse_var,wti,377,2.6051274904095054,1.6056344870981136,0.5092838196286472,0.0033814977447463976,2.61753317929647,0.004739458122284046
final_holdout,stability_filtered_full,wti,377,2.60485989788322,1.601415356851328,0.5145888594164456,-0.0025147201951317426,2.61753317929647,0.004841688928144294
